Sample_ID,Treatment,Variety,Sample,R460,R520,R580,R660,R710,R730,R760,R780,R810,R850,R900,BF(F440),GF(F520),RF(F690),FrF(f740)
D1_1110_1,D1,1110,1,0.034826,0.1447575997108277,0.1253217764702071,0.1157646469802874,0.0838372408051065,0.1447579124411612,0.2619892207529006,0.2712298266980898,0.2740945336566147,0.2853294013453588,0.2788598651178539,0.0636563048689004,0.082411580826292,0.0773255677427634,0.223441659923117
D1_1110_2,D1,1110,2,0.034596,0.1298144703658049,0.1198321865785619,0.1152023617875934,0.0772898382017955,0.1338830941011321,0.2066332725412836,0.2462186581255826,0.2462316435835788,0.252469146822445,0.2470369301054092,0.0615816113278511,0.0798405588524265,0.0727007263955987,0.220821113981584
D1_1110_3,D1,1110,3,0.035164,0.1345759742803626,0.1236138815655896,0.1173769001331311,0.0860392068922521,0.1468473018626222,0.2196077831037502,0.2465809853353106,0.2450702483828196,0.2560694323868821,0.2561000567689075,0.0639634458434536,0.0796341031835177,0.078431622465766,0.2101899555672981
D1_1099_1,D1,1099,1,0.027349,0.12547738585670826,0.0986537635767846,0.2295031496652448,0.1261020462001644,0.12105979208994785,0.21846631526443744,0.24997647033582499,0.26276878505528745,0.25778985127293186,0.25483951823501916,0.0961051745434149,0.1363590423285107,0.1044630208620604,0.3519340916937654
D1_1099_2,D1,1099,2,0.02794,0.1259097097700694,0.0988473609641885,0.0931316951046476,0.0599587962214267,0.1190266893445867,0.206846048191302,0.2542577816198509,0.2571457726020978,0.2496403221806986,0.247397136203333,0.061549801158076,0.0618679255218807,0.0704885051636759,0.19745465098308
D1_1099_3,D1,1099,3,0.026758,0.1250450619433471,0.0984601661893807,0.0892054762126673,0.0601722634373139,0.123092894835309,0.2300865823375729,0.2456951590517991,0.268391797508477,0.2659393803651651,0.2622819002667053,0.0614151897762186,0.0696226097684068,0.0775886973828314,0.1810599366873466
D1_73_1,D1,73,1,0.044274,0.1827474644298783,0.1715881585053569,0.1581190113855214,0.1001636206638391,0.1803722783386902,0.2970842845381761,0.3341887202323841,0.3404910744723789,0.3507973538701348,0.3300369415948083,0.0694759026059403,0.0950280382823405,0.0795324433348501,0.2645724734967125
D1_73_2,D1,73,2,0.04315,0.162789253792218,0.1617941135051401,0.1541049324001586,0.1063694738072285,0.1753237097660997,0.2646919842334717,0.2659688663802511,0.2974054836898467,0.3009104106651828,0.2969762682079769,0.0690533002383966,0.0898111025968961,0.0809544985015031,0.2618139230902348
D1_73_3,D1,73,3,0.032608,0.1410271080109604,0.1167300912250235,0.1093155945982577,0.0754219811724824,0.1410514653829132,0.2164380790085678,0.2449420021121329,0.2483839864056239,0.2635354905409467,0.2596411224693052,0.0638026705458556,0.0806256494380961,0.0789138447791018,0.2152342209254878
D1_12_1,D1,12,1,0.043411,0.1790583179756687,0.1675314464393839,0.1550764981807023,0.1077775407514225,0.1885682829797437,0.2799385857123831,0.3037101929114562,0.3132471276809583,0.3131728768240893,0.3124472990963407,0.0720488164829164,0.1071311762669852,0.0882747701322339,0.304463238983186
D1_12_2,D1,12,2,0.043672,0.2298093943325245,0.2423968816579178,0.2299826241633528,0.1399396903636956,0.19212388613383907,0.3851476776970831,0.4278749737639962,0.4315026834653844,0.4428300336972536,0.416232057249665,0.0712340265539113,0.104786762362706,0.0852771680503289,0.273287389861085
D1_12_3,D1,12,3,0.043933,0.1775410981518309,0.1700386308720385,0.1569163587557115,0.112307137189273,0.1956794892879344,0.2754182711604032,0.3201734205020706,0.3232551701240574,0.3270732700843664,0.3118301227091207,0.0742810160327232,0.0966076393212159,0.0875104575076497,0.2482313130887808
RD2_1274_1,RD2,1274,1,0.042286,0.1739379421779247,0.1478461140158537,0.1411458857283305,0.0907153242698082,0.161042618679314,0.2251645947401085,0.2356749764443271,0.2272391807101802,0.2570338520382616,0.2481478928828731,0.0824056721946715,0.1317914870004014,0.0990280619368611,0.312544245162738
RD2_1274_2,RD2,1274,2,0.049756,0.1863712963697818,0.1735201950028744,0.1586147989610853,0.099596049529274,0.175176481425583,0.257024479196871,0.2944261972490049,0.2901385127675731,0.3019517297565522,0.2860573626121776,0.0821420061073382,0.1256903873068358,0.0995617527932946,0.3366801971143809
RD2_1274_3,RD2,1274,3,0.047041,0.2011516594184389,0.1908501850526775,0.188162396624409,0.1180731639411801,0.201169595881446,0.2795038106088439,0.2790643599430677,0.2765332416261619,0.2992365919040126,0.2888758832131397,0.0878369356254875,0.1445939272711999,0.1099013813776585,0.3580369410116677
RD2_1257_1,RD2,1257,1,0.042341,0.1590319521306506,0.139354359429487,0.1417041185025549,0.119815171430157,0.1598253685651665,0.1965413767014157,0.1958870674043513,0.2041493289743787,0.2130865323091649,0.2059146760631348,0.0777203541256447,0.1039630947544668,0.1136206047570527,0.2575693829209933
RD2_1257_2,RD2,1257,2,0.047726,0.1649237549277832,0.1572207416572998,0.1591344399110712,0.1213136230309356,0.1646736505372513,0.206851500060373,0.2197935056790082,0.2160418949046818,0.218891442387434,0.2100216949140125,0.080177053073415,0.1148746927909312,0.1147252551212401,0.264310030351939
